latitude_deg,lon_4.2,lon_5.0,lon_5.8,lon_6.6,lon_7.4,lon_8.2,lon_9.0,lon_9.8,lon_10.6,lon_11.4,lon_12.2,lon_13.0,lon_13.8
29.2,2.97594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.0,2.97591,2.77816,2.58784,2.47321,2.39571,2.12947,1.98580,1.88474,1.81178,1.75450,1.71362,1.66347,NA
30.8,2.97587,2.93630,2.83083,2.70071,2.62340,1.59263,1.60720,1.56546,1.53835,1.51367,1.49225,1.45802,NA
31.6,2.97584,2.96549,2.91901,2.83554,2.77127,1.68474,1.68198,1.62082,1.57797,1.53861,1.50699,1.46140,NA
32.4,2.97580,2.97250,2.94933,2.89635,2.84238,1.73477,1.74168,1.67399,1.62603,1.57950,1.54081,1.48115,NA
33.2,2.97576,2.97383,2.95766,2.91655,2.87571,1.75555,1.76768,1.70405,1.65470,1.60444,1.56173,1.49383,NA
34.0,2.97572,2.97333,2.96006,2.91670,2.87524,1.75762,1.77572,1.70834,1.65581,1.60228,1.55905,1.49316,NA
34.8,2.97568,2.97181,2.95072,2.89546,2.84646,1.73548,1.74967,1.68123,1.63106,1.58080,1.53921,1.47632,NA
35.6,2.97564,2.96598,2.92229,2.83760,2.78035,1.68106,1.70027,1.62862,1.57907,1.53207,1.49346,1.43737,NA
36.4,2.97560,2.93970,2.83990,2.70747,2.63485,1.58813,1.60498,1.54091,1.49764,1.46003,1.42881,1.38569,NA
37.2,2.97556,2.78583,2.59699,2.45937,2.40282,1.45366,1.48428,1.44693,1.42264,1.40071,1.38284,1.35882,NA
38.0,2.97552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
